name,ingredient,instructions
After Supper Cocktail,"Apricot flavored brandy 1.0 oz
Triple sec 1.0 oz
Lemon juice 0.5 oz",Shake with ice and strain into cocktail glass.
Akogare,"Straight rye whiskey 1.5 oz
Ginger syrup 0.75 oz
Cold brewed black tea 0.75 oz
Preferably japanese 0.75 oz
Lemon juice 0.75 oz",Shake with ice and strain into chilled cocktail glass. Add orange twist.
Alamo Splash,"Blanco tequila 1.5 oz
Orange juice 1.0 oz
Pineapple juice 0.5 oz
Lemon-lime soda 2.0 oz",Pour first three ingredients into ice-filled Collins glass. Top with lemon-lime soda and stir.
Alexander Cocktail No. 1,"Gin 1.0 oz
Creme de cacao (white) 1.0 oz
Light cream 1.0 oz",Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.
Alexander Cocktail No. 2,"Creme de cacao (white) 1.0 oz
Brandy 1.0 oz
Light cream 1.0 oz",Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.
Alexander's Sister Cocktail,"Dry gin 1.0 oz
Green creme de menthe 1.0 oz
Light cream 1.0 oz",Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.
Alfie Cocktail,"Lemon-flavored vodka 1.5 oz
Pineapple juice 0.75 oz
Triple sec 0.5 oz",Shake with ice and strain into chilled cocktail glass.
Algonquin,"Straight rye whiskey 1.5 oz
Dry vermouth 1.0 oz
Pineapple juice 1.0 oz",Shake with ice and strain into chilled cocktail glass.
Allegheny,"Bourbon whiskey 1.0 oz
Dry vermouth 1.0 oz
Blackberry-flavored brandy 0.5 oz
Lemon juice 0.5 oz",Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Allies Cocktail,"Dry vermouth 1.0 oz
Gin 1.0 oz
Kummel 0.5 oz",Stir with ice and strain into cocktail glass.
Almeria,"17-year-old j. wray 1.5 oz
Nephew ltd. rum 1.5 oz
Coffee-flavored liqueur 1.0 oz
Egg white 1.0 units",Shake all ingredients with cracked ice and strain into cocktail glass.
Amante Picante,"Cucumber 5.0 oz
Fresh cilantro sprigs 2.0 oz
Blanco tequila 2.0 oz
Lime juice 1.0 oz
Simple syrup 1.0 oz
Jalapeno hot pepper sauce 2.0 oz",Muddle 2 cucumber slices and cilantro in mixing glass. Add remaining ingredients. Shake with ice and double-strain into chilled cocktail glass. Garnish with cucumber.
Amaretto And Cream,"Amaretto 1.5 oz
Half-and-half 1.5 oz",Shake with ice and strain into chilled cocktail glass.
Amaretto Rose,"Amaretto 1.5 oz
Lemon juice 0.5 oz
Simple syrup 0.5 oz
Soda water 3.0 oz",Pour first three ingredients into ice-filled Collins glass and fill with soda water. Stir.
Amaretto Sour,"Amaretto 1.5 oz
Lemon juice 0.75 oz
Simple syrup 0.5 oz
Orange half-wheel 1.0 units",Shake with ice and strain into chilled sour glass. Garnish with orange.
Amaretto Stinger,"Amaretto 1.5 oz
White creme de menthe 0.75 oz",Shake with ice and strain into chilled cocktail glass.
Amber Amour,"Amaretto 1.5 oz
Lemon juice 0.25 oz
Simple syrup 0.25 oz
Soda water 3.0 oz","Pour amaretto, lemon juice, and syrup into ice-filled Collins glass. Top with soda water and stir. Garnish with cherry."
Ambrosia,"Applejack 1.0 oz
Brandy 1.0 oz
Triple sec 1.0 oz
Chilled champagne 3.0 oz",Shake all ingredients except champagne. Pour contents into highball glass with cubed ice. Fill with chilled champagne.
American Trilogy,"Brown sugar cube 1.0 oz
Such as demerara 1.0 oz
Straight rye whiskey 1.0 oz
Applejack 1.0 oz
Orange wheel 1.0 units","Muddle sugar cube in mixer glass. Add whiskey, applejack, and ice. Stir and strain into chilled old-fashioned glass. Add orange twist."
Americana,"Tennessee whiskey 1.0 oz
Simple syrup 0.5 oz
Angostura bitters 2.0 oz
Chilled american sparkling wine 1.0 units",Stir first three ingredients in ice-filled Collins glass. Fill with sparkling wine. Garnish with peach.
Angel's Share,"Bourbon whiskey 1.5 oz
Amaro 0.5 oz
Creme de cassis 0.25 oz
Orange bitters 1.0 oz",Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Ante,"Apple brandy 1.0 oz
Triple sec 0.5 oz
Dubonnet 1.0 oz",Stir well with cracked ice and strain into cocktail glass.
Antoine Special,"Dubonnet 1.5 oz
Dry vermouth 1.5 oz",Float vermouth on top of chilled Dubonnet in a wine glass.
Apple Blow Fizz,"Egg white 1.0 units
Lemon juice 0.5 oz
Powdered sugar 1.0 oz
Apple brandy 2.0 oz",Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water.
Apple Pie,"Apple schnapps 3.0 oz
Cinnamon schnapps 1.0 oz
Apple slice 1.0 units",Pour into ice-filled old-fashioned glass. Garnish with apple and top with cinnamon.
Apple Pie Cocktail,"Old mr. boston rum 0.75 oz
Sweet vermouth 0.75 oz
Apple flavored brandy 1.0 oz
Grenadine 0.5 oz
Lemon juice 1.0 oz",Shake with ice and strain into cocktail glass. 
Apple Pie No. 1,"Light rum 0.75 oz
Sweet vermouth 0.75 oz
Apple brandy 1.0 oz
Grenadine 0.5 oz
Lemon juice 1.0 oz",Shake with ice and strain into cocktail glass.
Apple Rum Rickey,"Applejack 0.75 oz
Light rum 0.75 oz
Lime 0.25 units",Pour applejack and rum into highball glass over ice cubes. Fill with carbonated water. Squeeze lime and drop into glass. Stir.
Applecar,"Applejack 1.0 oz
Triple sec 1.0 oz
Lemon juice 1.0 oz",Shake with ice and strain into cocktail glass.
Applejack Punch,"Applejack 1.75 oz
Grenadine 4.0 oz
Orange juice 16.0 oz
Egg 1.0 units",Combine first three ingredients in punch bowl with large block of ice. Add ginger ale and slices of apple.
Apricot Anise Collins,"Gin 1.5 oz
Apricot-flavored brandy 0.5 oz
Anisette 1.5 oz
Lemon juice 1.0 oz",Shake with ice and strain into Collins glass over ice. Fill with carbonated water and stir lightly. Garnish with a slice of lemon.
Apricot Anisette Collins,"Gin 1.5 oz
Apricot flavored brandy 0.5 oz
Anisette 1.5 oz
Lemon juice 1.0 oz",Shake with ice and strain into collins glass over ice. Fill with club soda and stir lightly. Garnish with a slice of lemon.
Apricot Cocktail,"Lemon juice 0.25 oz
Juice of orange 0.25 oz
Apricot flavored brandy 1.5 oz
Gin 1.0 oz",Shake with ice and strain into cocktail glass.
Apricot Lady,"Light rum 1.25 oz
Apricot-flavored brandy 1.0 oz
Triple sec 0.25 oz
Lime juice 1.0 oz
Egg white 1.0 units",Shake all ingredients with ice and strain into old-fashioned glass over ice cubes. Add an orange slice.
Aquarius,"Blended scotch whiskey 1.5 oz
Cherry-flavored brandy 0.5 oz
Cranberry juice 1.0 oz",Shake with ice and strain into old-fashioned glass over ice.
Aqueduct,"Vodka 1.5 oz
Lime juice 0.75 oz
Apricot-flavored brandy 0.5 oz
Orange wheel 1.0 units
White curacao 0.5 oz",Shake with ice and strain into chilled cocktail glass. Add orange twist.
Aqueduct with Triple sec,"Triple sec 0.5 oz
Vodka 1.5 oz
Lime juice 0.75 oz
Apricot-flavored brandy 0.5 oz
Orange wheel 1.0 units",Shake with ice and strain into chilled cocktail glass. Add orange twist.
Aunt Jemima,"Brandy 0.5 oz
White creme de cacao 0.5 oz
Benedictine 0.5 oz","Pour carefully, in order given, into a pousse-cafe glass so that ingredients do not mix."
Autumn Leaves,"Straight rye whiskey 0.75 oz
Apple brandy 0.75 oz
Sweet vermouth 0.75 oz
Strega 0.25 oz
Angostura bitters 2.0 oz
Orange wheel 1.0 units",Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Aztec's Mark,"Bourbon whiskey 1.5 oz
White creme de cacao 0.5 oz
Benedictine 0.25 oz
Hot red pepper sauce 2.0 oz",Stir with ice and strain into chilled cocktail glass. Add orange twist.
Bacardi Cocktail,"Bacardi rum 1.5 oz
Lime juice 0.5 oz
Grenadine 0.5 oz",Shake with ice and strain into cocktail glass.
Bachelor's Bait Cocktail,"Gin 1.5 oz
Egg white 1.0 units
Orange bitters 1.0 oz
Grenadine 0.5 oz",Shake with ice and strain into cocktail glass.
Back Porch Swizzle,"Bourbon whiskey 1.5 oz
Dry vermouth 0.5 oz
Pineapple juice 1.0 oz
Ginger beer 1.0 oz
Mint sprigs 1.0 units","Pour first four ingredients in crushed ice-filled highball glass. With barspoon between your palms, move hands back and forth and up and down to quickly rotate and lift spoon, until glass is frosted. Float Chartreuse on top, and garnish with mint."
Baltimore Bracer,"Anisette 1.0 oz
Brandy 1.0 oz
Egg white 1.0 units",Shake with ice and strain into cocktail glass.
Baltimore Bracer Cocktail,"Old mr. boston anisette 1.0 oz
Old mr. boston five star brandy 1.0 oz
Egg white 1.0 units",Shake with ice and strain into cocktail glass. 
Barbary Coast Cocktail,"Old mr. boston dry gin 0.5 oz
Old mr. boston rum 0.5 oz
Old mr. boston creme de cacao 0.5 oz
Desmond & duff scotch whisky 0.5 oz
Sweet cream 0.5 oz",Shake with ice and strain into cocktail glass.
Barnaby's Buffalo Blizzard,"White creme de cacao 1.0 oz
Vodka 0.75 oz
Galliano 1.0 oz
Grenadine 1.0 oz
Whipped cream 1.0 units",Shake or blend. Serve in a collins glass.
Barton Special,"Applejack 0.5 oz
Scotch 0.25 oz
Gin 0.25 oz",Shake with ice and strain into old-fashioned glass over ice cubes.
Basil 8,"Basil leaves 3.0 units
White grapes 5.0 oz
Vodka 1.5 oz
Lime juice 0.75 oz
Each simple syrup 1.0 oz
Angostura bitters 1.0 oz
Ginger ale 3.0 oz",Muddle basil and 5 grapes in Collins glass. Add next four ingredients and stir. Add ice and top with ginger ale. Garnish with basil sprig and 1 white grape.
Basin Street,"Bourbon whiskey 2.0 oz
Triple sec 0.75 oz
Lemon juice 0.75 oz",Shake well with ice and strain into chilled cocktail glass.
Beals Cocktail,"Blended scotch whiskey 1.5 oz
Dry vermouth 0.5 oz
Sweet vermouth 0.5 oz",Stir with ice and strain into chilled cocktail glass.
Beer Buster,"Vodka 1.5 oz
Hot red pepper sauce 2.0 oz
Chilled beer 1.0 units",Pour vodka into highball glass and fill with beer or ale. Add hot sauce and stir lightly.
Beer Buster with Ale,"Ale 1.0 units
Vodka 1.5 oz
Hot red pepper sauce 2.0 oz",Pour vodka into highball glass and fill with beer or ale. Add hot sauce and stir lightly.
Bella Fragolia,"Strawberries 1.0 units
Basil leaves 4.0 units
Vodka 2.0 oz
Lemon juice 1.0 oz
Simple syrup 1.0 oz
Soda water 3.0 oz
Strawberries 0.25 units
Basil leaves 1.0 units","Muddle chopped strawberry and 4 basil leaves in mixing glass. Add vodka, lemon juice, and syrup with ice and shake well. Double-strain into ice-filled old-fashioned glass and top with soda water. Garnish with strawberry and basil."
Bensonhurst,"Cynar 1.0 oz
Straight rye whiskey 2.0 oz
Dry vermouth 1.0 oz
Maraschino liqueur 0.25 oz",Swirl Cynar in chilled cocktail glass to coat inside; discard excess Cynar. Stir remaining ingredients with ice and strain into glass.
Bentley,"Apple brandy 1.5 oz
Dubonnet 1.0 oz",Stir with cracked ice and strain into cocktail glass. Add a twist of lemon peel.
Bermuda Rose,"Gin 1.25 oz
Apricot flavored brandy 1.5 oz
Grenadine 1.5 oz",Shake with ice and strain into cocktail glass.
Bermuda Rose Cocktail,"Old mr. boston dry gin 1.25 oz
Old mr. boston apricot flavored brandy 1.5 oz
Grenadine 1.5 oz",Shake with ice and strain into cocktail glass. 
Betsy Ross Cocktail,"Old mr. boston five star brandy 1.5 oz
Port 1.5 oz
Old mr. boston triple sec 1.0 oz
Old mr. boston dry gin 1.25 oz",Stir with cracked ice and strain into cocktail glass.
Between-The-Sheets Cocktail,"Lemon juice 0.25 oz
Brandy 0.5 oz
Triple sec 0.5 oz
Light rum 0.5 oz",Shake with ice and strain into cocktail glass.
Bianca,"Lime wedges 1.0 units
Superfine sugar 1.0 oz
Citrus-flavored vodka 1.5 oz
Pomegranate juice 2.0 oz
Lime juice 0.25 oz
Simple syrup 1.0 oz
Lemon juice 1.0 oz
Lemon twist 1.0 units
Fresh pomegranate seeds 1.0 oz",Rim chilled cocktail glass with lime and sugar. Shake remaining ingredients with ice and strain into glass. Add lemon twist and pomegranate seeds.
Biffy Cocktail,"Lemon juice 0.5 oz
Swedish punch 1.0 oz
Gin 1.5 oz",Shake with ice and strain into cocktail glass.
Big Red Hooter,"Blanco tequila 1.0 oz
Amaretto 0.75 oz
Pineapple juice 2.0 oz
Grenadine 0.5 oz
Maraschino cherry 1.0 units",Pour tequila and amaretto into ice-filled Collins glass. Fill with pineapple juice and top with grenadine. Add cherry. Serve with straw.
Bijou Cocktail,"Gin 0.75 oz
Green chartreuse 0.75 oz
Sweet vermouth 0.75 oz
Orange bitters 1.0 oz",Stir with ice and strain into cocktail glass. Add a cherry on top.
Bikini,"Vodka 1.0 oz
Light rum 0.5 oz
Lemon juice 0.5 oz
Milk 0.5 oz
Simple syrup 0.5 oz
Lemon twist 1.0 units",Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Billy Taylor,"Lime juice 0.5 oz
Gin 2.0 oz
Club soda 1.0 units",Fill collins glass with club soda and ice cubes. Stir in lime juice and gin.
Bird-of-Paradise Fizz,"Lemon juice 0.5 oz
Powdered sugar 1.0 oz
Egg white 1.0 units
Grenadine 1.0 oz
Gin 2.0 oz",Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water.
Black Cherry Chocolate,"Black cherry-flavored vodka 1.25 oz
White chocolate liqueur 0.75 oz
Black cherry juice 0.75 oz",Shake with ice and strain into chilled cocktail glass.
Black Hawk,"Bourbon whiskey 1.5 oz
Sloe gin 1.5 oz
Maraschino cherry 1.0 units",Stir with ice and strain into chilled cocktail glass. Garnish with cherry.
Black Hawk Cocktail,"Old thompson blended whiskey 1.25 oz
Old mr. boston sloe gin 1.25 oz",Stir with ice and strain into cocktail glass. Serve with a cherry.
Black Magic,"Vodka 1.5 oz
Coffee liqueur 0.75 oz
Lemon juice 0.25 oz",Shake with ice and strain into ice-filled old-fashioned glass. Add lemon twist.
Black Russian,"Vodka 1.5 oz
Coffee liqueur 0.75 oz",Pour into ice-filled old-fashioned glass and stir.
Black Velvet,"Chilled stout 5.0 oz
Chilled champagne 5.0 oz","Pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix. "
Blarney Stone Cocktail,"Irish whiskey 2.0 oz
Anisette 0.5 oz
Triple sec 0.5 oz
Maraschino liqueur 0.5 oz
Angostura bitters 1.0 oz
Orange wheel 1.0 units
Green olive 1.0 oz",Shake with ice and strain into chilled cocktail glass. Add orange twist and olive.
Blood Bronx Cocktail,"Old mr. boston dry gin 1.5 oz
Dry vermouth 1.5 oz
Juice of a blood orange 0.25 oz",Shake with ice and strain into cocktail glass.
Blood and Sand,"Blended scotch whiskey 0.5 oz
Cherry-flavored brandy 0.5 oz
Sweet vermouth 0.5 oz
Orange juice 0.5 oz",Shake with ice and strain into chilled cocktail glass.
Bloodhound Cocktail,"Dry vermouth 0.5 oz
Sweet vermouth 0.5 oz
Gin 1.0 oz",Shake with ice and strain into cocktail glass. Decorate with two or three crushed strawberries.
Bloody Bull,"Vodka 1.0 oz
Tomato juice 2.0 oz
Cold beef bouillon 2.0 oz",Pour into ice-filled highball glass. Stir. Squeeze and add lemon. Garnish with lime wheel.
Bloody Maria,"Blanco tequila 1.0 oz
Tomato juice 2.0 oz
Lemon juice 0.25 oz
Hot red pepper sauce 1.0 oz
Celery salt 1.0 oz
Lemon wheels 1.0 units",Stir with ice. Strain into ice-filled old-fashioned glass. Add lemon wheel.
Bloody Mary,"Vodka 1.5 oz
Tomato juice 3.0 oz
Lime juice 0.25 oz
Worcestershire sauce 4.0 oz
Hot red pepper sauce 3.0 oz
Ground black pepper 1.0 oz
Lime wedges 1.0 units
Celery stalk 1.0 units",Roll with ice between both halves of Boston shaker. Strain into ice-filled old-fashioned glass. Garnish with lime and celery.Ground black pepper to taste
Bloody Scotsman,"Smoky scotch whisky 24.0 oz
Such as laphroaig 24.0 oz
Tomato juice 24.0 oz
V8 cocktail juice 24.0 oz
Ketchup 0.5 oz
Lime juice 3.0 oz
Simple syrup 0.75 oz","Mix ingredients together, stirring often, in a large container, adding salt to taste. Chill for at least 24 hours before serving. Serve in icefilled old-fashioned glasses."
Blue Bird,"Gin 1.5 oz
Triple sec 0.5 oz
Bitters 1.0 oz",Stir with ice cubes and strain into cocktail glass. Add a twist of lemon peel and a cherry.
Blue Canary,"Gin 0.75 oz
Grapefruit juice 3.0 oz
Blue curacao 1.0 oz",Combine ingredients with ice in mixing glass and stir gently. Strain into chilled cocktail glass filled with crushed ice. Garnish with a mint sprig.
Blue Devil Cocktail,"Gin 1.0 oz
Maraschino 1.0 oz
Blue curacao 0.5 oz
Lemon juice 0.5 oz",Shake with ice and strain into cocktail glass.
Blue Devil Cocktail with Lime,"Lime 1.0 units
Gin 1.0 oz
Maraschino 1.0 oz
Blue curacao 0.5 oz",Shake with ice and strain into cocktail glass.
Blue Lagoon,"Vodka 1.0 oz
Blue curacao 1.0 oz
Lemon juice 0.5 oz
Simple syrup 0.5 oz
Maraschino cherry 1.0 units",Shake with ice and strain into ice-filled highball glass. Garnish with cherry.
Blue Margarita,"Lime juice 1.0 oz
Coarse salt 1.0 oz
Blanco tequila 1.5 oz
Blue curacao 0.5 oz
Lime juice 1.0 oz",Rim chilled cocktail glass with lime juice and salt. Shake remaining ingredients with ice and strain into glass.
Bobby Burns Cocktail,"Blended scotch whiskey 1.5 oz
Sweet vermouth 1.5 oz
Benedictine 1.0 oz
Lemon twist 1.0 units",Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Bolero Cocktail,"Old mr. boston rum 1.5 oz
Apple brandy 0.75 oz
Sweet vermouth 0.25 oz",Stir well with cracked ice and strain into cocktail glass.
Bolshoi Punch,"Vodka 1.0 oz
Lemon juice 0.75 oz
Simple syrup 0.5 oz
Light rum 0.5 oz
Creme de cassis 0.5 oz",Shake and pour into ice-filled old-fashioned glass.
Bordeaux Cocktail,"Citrus-flavored vodka 1.5 oz
Lillet blanc 0.5 oz
Lemon twist 1.0 units",Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Boston Bullet,"Gin 1.5 oz
Dry vermouth 0.75 oz",A Martini substituting an olive stuffed with an almond for the regular olive. See Martini on page 130.
Boston Gold,"Vodka 1.5 oz
Creme de banana 0.5 oz
Orange juice 2.0 oz",Shake with ice and strain into ice-filled highball glass.
Boston Side Car,"Mr. boston five star brandy 0.75 oz
Mr. boston rum 0.75 oz
Mr. boston triple sec 0.75 oz
Lime juice 0.5 oz",Shake with ice and strain into cocktail glass.
Boston Sidecar Cocktail,"Old mr. boston five star brandy 0.75 oz
Old mr. boston rum 0.75 oz
Old mr. boston triple sec 0.75 oz
Lime juice 0.5 oz",Shake with ice and strain into cocktail glass.
Boston Sour,"Lemon juice 0.5 oz
Powdered sugar 1.0 oz
Blended whiskey 2.0 oz
Egg white 1.0 units",Shake with cracked ice and strain into sour glass. Add a slice of lemon and a cherry.
Bourbon A La Creme,"Bourbon whiskey 2.0 oz
Dark creme de cacao 1.0 oz
Vanilla liqueur 0.5 oz",Stir ingredients with ice. Strain into chilled old-fashioned glass.
Bourbon And Elder,"Bourbon whiskey 2.0 oz
Elderflower liqueur 0.75 oz
Angostura bitters 1.0 oz
Lemon twist 1.0 units",Stir with ice and strain into chilled old-fashioned glass. Add lemon twist.
Bourbon Cobbler,"Bourbon 2.5 oz
Lemon juice 1.0 oz
Grapefruit juice 2.0 oz
Almond extract 1.5 oz","Combine all ingredients in mixing glass, pour over ice into old-fashioned glass. Decorate with peach slice."
Bourbon Cooler,"Bourbon whiskey 2.5 oz
Lemon juice 0.5 oz
Grapefruit juice 0.5 oz
Orgeat syrup 0.5 oz",Shake with ice in mixing glass. Pour with ice into old-fashioned glass. Garnish with peach.
Bourbon Crusta,"Lemon wedges 1.0 units
Superfine sugar 1.0 oz
Long 1.0 units
Wide spiral of orange zest 1.0 units
Bourbon whiskey 2.0 oz
Triple sec 0.5 oz
Maraschino liqueur 1.0 oz
Lemon juice 1.0 oz
Orange bitters 2.0 oz",Rim chilled cocktail glass with lemon and sugar. Curl the zest spiral in glass. Stir remaining ingredients with ice and strain into glass.
Bourbon Highball,"Bourbon whiskey 2.0 oz
Lemon twist 1.0 units
Ginger ale 3.0 oz",Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water and stir. Add lemon twist.
Bourbon Highball with Soda water,"Soda water 3.0 oz
Bourbon whiskey 2.0 oz
Lemon twist 1.0 units",Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water and stir. Add lemon twist.
Bourbon On The Rocks,Bourbon 2.0 oz,Pour bourbon into old-fashioned glass half-filled with ice.
Bourbon Renewal,"Bourbon whiskey 2.0 oz
Lemon juice 1.0 oz
Creme de cassis 0.5 oz
Simple syrup 0.5 oz
Angostura bitters 1.0 oz",Shake with ice. Strain into ice-filled old-fashioned glass.
Bourbon and Water,Bourbon 2.0 oz,"Pour bourbon and water into old-fashioned glass. Add ice and a twist of lemon peel, if desired, and stir."
Brandy Alexander,"Creme de cacao (brown) 0.5 oz
Brandy 0.5 oz
Heavy cream 0.5 oz",Shake well with cracked ice and strain into cocktail glass.
Brandy Crusta Cocktail,"Maraschino 1.0 oz
Bitters 1.0 oz
Lemon juice 1.0 oz
Triple sec 0.5 oz
Brandy 2.0 oz",Moisten the edge of a cocktail glass with lemon and dip into sugar. Cut the rind of half a lemon into a spiral and place in glass. Stir above ingredients with ice and strain into sugar-rimmed glass. Add a slice of orange.
Brandy Flip,"Egg 1.0 units
Powdered sugar 1.0 oz
Brandy 1.5 oz
Light cream (if desired) 2.0 oz",Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.
Brandy Milk Punch,"Powdered sugar 1.0 oz
Brandy 2.0 oz
Milk 1.0 oz","Shake with ice, strain into collins glass, and sprinkle nutmeg on top."
Brandy Squirt,"Brandy 1.5 oz
Powdered sugar 1.0 oz
Grenadine 1.0 oz
Club soda 1.0 units",Shake with ice and strain into highball glass and fill with club soda. Decorate with stick of pineapple and strawberries.
Brandy Vermouth Cocktail,"Brandy 2.0 oz
Sweet vermouth 0.5 oz
Angostura bitters 1.0 oz",Stir with ice and strain into chilled cocktail glass.
Brandy and Soda,"Brandy 2.0 oz
Club soda 1.0 units",Pour brandy into collins glass with ice cubes. Fill with club soda.
Brantini,"Brandy 1.5 oz
Gin 1.0 oz
Dry vermouth 1.0 oz",Stir with cracked ice and strain into old-fashioned glass with cubed ice. Add a twist of lemon peel.
Brave Bull,"Blanco tequila 1.5 oz
Coffee liqueur 1.0 oz
Lemon twist 1.0 units",Pour into ice-filled old-fashioned glass and stir. Add lemon twist.
Bravo,"Anejo tequila 2.0 oz
Agave nectar 0.25 oz
Angostura bitters 2.0 oz
Orange bitters 1.0 oz
Grapefruit twist 1.0 units",Stir with ice and strain into chilled old-fashioned glass. Add grapefruit twist.
Brighton Punch,"Bourbon whiskey 0.75 oz
Brandy 0.75 oz
Benedictine 0.75 oz
Orange juice 2.0 oz
Lemon juice 1.0 oz
Soda water 3.0 oz
Orange 1.0 units
Lemon wheels 1.0 units",Shake first five ingredients with ice and pour with ice into Collins glass. Fill with soda water and stir gently. Garnish with orange and lemon and serve with a straw.
Bronx Cocktail (Dry),"Gin 1.0 oz
Dry vermouth 1.0 oz
Juice of orange 0.25 oz",Shake with ice and strain into cocktail glass. Serve with a slice of orange.
Bronx Golden Cocktail,"Gin 1.0 oz
Sweet vermouth 0.5 oz
Dry vermouth 0.5 oz
Orange 0.25 units",Same as Bronx Cocktail with the addition of one egg yolk. Use sour glass.
Bronx SIlver Cocktail,"Juice of orange 0.5 oz
Egg white 1.0 units
Dry vermouth 0.5 oz
Gin 1.0 oz",Shake with ice and strain into sour glass.
Bronx Terrace Cocktail,"Gin 1.5 oz
Dry vermouth 1.5 oz
Lime juice 0.5 oz",Shake with  ice and strain into cocktail glass. Add a cherry.
Brooklyn,"Sweet vermouth 0.5 oz
Maraschino liqueur 1.0 oz
Rye 1.5 oz
Amer picon 1.0 oz",Stir with ice and strain into chilled cocktail glass.
Brooklyn with Bourbon whiskey,"Bourbon whiskey 1.5 oz
Sweet vermouth 0.5 oz
Maraschino liqueur 1.0 oz",Stir with ice and strain into chilled cocktail glass.
Brooklyn with Torani amer,"Torani amer 1.0 oz
Sweet vermouth 0.5 oz
Maraschino liqueur 1.0 oz",Stir with ice and strain into chilled cocktail glass.
Brown Cocktail,"Gin 0.75 oz
Light rum 0.75 oz
Dry vermouth 0.75 oz",Stir with ice and strain into cocktail glass.
Brunswick Street Cocktail,"Cognac 1.5 oz
Sweet sherry 1.5 oz
Preferably pedro ximenez 1.5 oz
Egg yolk 1.0 units",Shake without ice. Add ice and shake again. Strain into chilled cocktail glass. Top with nutmeg.
Buckjones,"Light rum 1.5 oz
Sweet sherry 1.0 oz
Lime juice 0.5 oz",Pour ingredients into highball glass over ice cubes and stir. Fill with ginger ale.
Bucks Fizz,"Orange juice 2.0 oz
Champagne 3.0 oz","Pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with champagne, and stir very gently."
